"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","MAN_FLOW_POP_CNT_10G","MAN_FLOW_POP_CNT_20G","MAN_FLOW_POP_CNT_30G","MAN_FLOW_POP_CNT_40G","MAN_FLOW_POP_CNT_50G","MAN_FLOW_POP_CNT_60GU","WMAN_FLOW_POP_CNT_10G","WMAN_FLOW_POP_CNT_20G","WMAN_FLOW_POP_CNT_30G","WMAN_FLOW_POP_CNT_40G","WMAN_FLOW_POP_CNT_50G","WMAN_FLOW_POP_CNT_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","11010560200031000001","953247.625","1957062","0.29","1.26","3.61","4.37","3.87","2.55","0.58","1.25","1.98","2.52","2.6","2.26","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","954571.8125","1957106","0.85","1.58","2.23","2.72","3.2","2.29","1","1.8","2.22","3.13","3.18","2.27","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200051000001","953887.3125","1957470","0.26","0.19","0.4","1.4","2.67","3.44","0.44","0.05","0.34","0.71","1.14","1.57","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","953888.375","1957675","0.11","0.49","1.45","1.73","1.51","0.99","0.2","0.5","0.8","1","1.04","0.88","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200051000001","954133.3125","1957622","0.19","0.73","2.12","2.56","2.24","1.49","0.34","0.74","1.17","1.49","1.53","1.31","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200051000001","953935.1875","1957264","0.45","0.9","1.26","1.54","1.79","1.29","0.54","1.03","1.25","1.79","1.81","1.29","2016-05-04 오후 6:31:19"
"201603","서울특별시","종로구","평창동","11010560200051000001","953935.5","1957315","0.34","0.64","0.89","1.12","1.3","0.94","0.41","0.73","0.91","1.31","1.29","0.94","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200051000001","953936.625","1957521","0.25","0.53","0.74","0.91","1.07","0.73","0.36","0.61","0.74","1.05","1.06","0.76","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200031000001","953197.875","1956960","0.47","0.98","1.36","1.67","1.96","1.39","0.6","1.1","1.37","1.94","1.94","1.43","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200031000001","953296.8125","1957114","0.39","0.83","1.14","1.38","1.63","1.19","0.49","0.93","1.14","1.59","1.59","1.21","2016-05-04 오후 6:30:50"
