일자,발전기명(WTG),발전기(Serial),발전량(kWh),최저풍속(m-s),평균풍속(m-s),최대풍속(m-s),최소발전량(kW),평균발전량(kW),최대발전량(kW),이용률(백분율),가동율(백분율),발전용량(kW),위치
2019-04-30,WTG01,U113-001,2069.092,0.0,3.117,7.526,-32.027,85.49799999999999,575.845,3.748,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-01,WTG01,U113-001,2350.098,0.03,3.0069999999999997,8.282,-31.588,97.389,877.698,4.257,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-02,WTG01,U113-001,2602.783,0.028999999999999998,3.0639999999999996,8.315,-32.027,107.97399999999999,838.431,4.715,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-03,WTG01,U113-001,1291.748,0.031,2.2359999999999998,7.234,-31.369,53.521,519.906,2.34,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-04,WTG01,U113-001,2011.475,0.03,2.8080000000000003,8.76,-30.93,83.49,1017.655,3.6439999999999997,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-05,WTG01,U113-001,848.145,0.032,2.343,7.534,-31.369,34.868,739.933,1.536,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-06,WTG01,U113-001,46398.437999999995,0.0,11.379000000000001,18.07,-32.247,1933.3020000000001,2402.976,84.055,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-07,WTG01,U113-001,666.5039999999999,0.0,2.184,8.237,-31.369,27.425,691.8910000000001,1.207,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-08,WTG01,U113-001,224.609,0.0,1.787,5.943,-32.027,9.138,221.782,0.40700000000000003,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-09,WTG01,U113-001,3573.242,0.0,3.452,9.314,-32.466,148.651,773.497,6.473,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-10,WTG01,U113-001,3411.865,0.04,3.636,8.502,-29.833000000000002,141.955,716.242,6.181,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-05-11,WTG01,U113-001,3196.289,0.036000000000000004,3.35,8.683,-31.15,132.89700000000002,971.368,5.79,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
