날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2018-12-30,광양항태양광,전남 광양시 도이동 775,2.3,4771800
2018-12-31,광양항태양광,전남 광양시 도이동 775,2.3,4663800
2019-01-01,광양항태양광,전남 광양시 도이동 775,2.3,3677400
2019-01-02,광양항태양광,전남 광양시 도이동 775,2.3,4678200
2019-01-03,광양항태양광,전남 광양시 도이동 775,2.3,4667400
2019-01-04,광양항태양광,전남 광양시 도이동 775,2.3,2048400
2019-01-05,광양항태양광,전남 광양시 도이동 775,2.3,3808800
2019-01-06,광양항태양광,전남 광양시 도이동 775,2.3,4473000
2019-01-07,광양항태양광,전남 광양시 도이동 775,2.3,4231800
2019-01-08,광양항태양광,전남 광양시 도이동 775,2.3,4302000
2019-01-09,광양항태양광,전남 광양시 도이동 775,2.3,3295800
2019-01-10,광양항태양광,전남 광양시 도이동 775,2.3,4165200
2019-01-11,광양항태양광,전남 광양시 도이동 775,2.3,4075200
2019-01-12,광양항태양광,전남 광양시 도이동 775,2.3,2363400
2019-01-13,광양항태양광,전남 광양시 도이동 775,2.3,4627800
2019-01-14,광양항태양광,전남 광양시 도이동 775,2.3,4480200
2019-01-15,광양항태양광,전남 광양시 도이동 775,2.3,3864600
2019-01-16,광양항태양광,전남 광양시 도이동 775,2.3,5142600
2019-01-17,광양항태양광,전남 광양시 도이동 775,2.3,4910400
2019-01-18,광양항태양광,전남 광양시 도이동 775,2.3,4815000
2019-01-19,광양항태양광,전남 광양시 도이동 775,2.3,3025800
2019-01-20,광양항태양광,전남 광양시 도이동 775,2.3,5009400
2019-01-21,광양항태양광,전남 광양시 도이동 775,2.3,5301000
2019-01-22,광양항태양광,전남 광양시 도이동 775,2.3,4932000
2019-01-23,광양항태양광,전남 광양시 도이동 775,2.3,4604400
2019-01-24,광양항태양광,전남 광양시 도이동 775,2.3,5036400
2019-01-25,광양항태양광,전남 광양시 도이동 775,2.3,3430800
2019-01-26,광양항태양광,전남 광양시 도이동 775,2.3,5446800
2019-01-27,광양항태양광,전남 광양시 도이동 775,2.3,5477400
2019-01-28,광양항태양광,전남 광양시 도이동 775,2.3,3936600
2019-01-29,광양항태양광,전남 광양시 도이동 775,2.3,5347800
2019-01-30,광양항태양광,전남 광양시 도이동 775,2.3,3855600
2019-01-31,광양항태양광,전남 광양시 도이동 775,2.3,1197000
2019-02-01,광양항태양광,전남 광양시 도이동 775,2.3,6138000
2019-02-02,광양항태양광,전남 광양시 도이동 775,2.3,5628600
2019-02-03,광양항태양광,전남 광양시 도이동 775,2.3,235800
2019-02-04,광양항태양광,전남 광양시 도이동 775,2.3,6039000
2019-02-05,광양항태양광,전남 광양시 도이동 775,2.3,5979600
2019-02-06,광양항태양광,전남 광양시 도이동 775,2.3,5517000
2019-02-07,광양항태양광,전남 광양시 도이동 775,2.3,2934000
2019-02-08,광양항태양광,전남 광양시 도이동 775,2.3,5596200
2019-02-09,광양항태양광,전남 광양시 도이동 775,2.3,5214600
2019-02-10,광양항태양광,전남 광양시 도이동 775,2.3,4590000
2019-02-11,광양항태양광,전남 광양시 도이동 775,2.3,6397200
2019-02-12,광양항태양광,전남 광양시 도이동 775,2.3,6055200
2019-02-13,광양항태양광,전남 광양시 도이동 775,2.3,5954400
2019-02-14,광양항태양광,전남 광양시 도이동 775,2.3,5317200
2019-02-15,광양항태양광,전남 광양시 도이동 775,2.3,2970000
2019-02-16,광양항태양광,전남 광양시 도이동 775,2.3,6111000
2019-02-17,광양항태양광,전남 광양시 도이동 775,2.3,6906600
2019-02-18,광양항태양광,전남 광양시 도이동 775,2.3,2611800
2019-02-19,광양항태양광,전남 광양시 도이동 775,2.3,1486800
2019-02-20,광양항태양광,전남 광양시 도이동 775,2.3,7025400
2019-02-21,광양항태양광,전남 광양시 도이동 775,2.3,6825600
2019-02-22,광양항태양광,전남 광양시 도이동 775,2.3,4170600
2019-02-23,광양항태양광,전남 광양시 도이동 775,2.3,6688800
2019-02-24,광양항태양광,전남 광양시 도이동 775,2.3,6904800
